Question,Correct Answer,Type,Option 1,Rationale 1,Option 2,Rationale 2,Option 3,Rationale 3,Option 4,Rationale 4,Syllabus Ref
"Due to the monolithic nature of their legacy information systems, an organization is unable to fully reap the benefits of more modern software engineering techniques such as Agile and continuous integration/continuous delivery (CI/CD). 
 
 Which practice includes designing loosely coupled service, technical, and information elements that would enable smaller, more frequent changes?",Architecture management,MCQ,Software development and management,"Incorrect. The ‘software development and management’ practice includes “The
detailed design, building, running, and management of loosely coupled software
components” (vs. architectures). Ref 4.2.2, tab 4.6",Deployment management,"Incorrect. Although more loosely-coupled architectures benefit the ‘deployment
management’ practice, it is the ‘architecture management’ practice that includes the
design of architectures. “The scope of deployments and deployment patterns are
reduced with the decoupling of system architecture”. Ref 4.2.2, tab 4.6",Business analysis,"Incorrect. ""Understanding consumer needs and translating them into detailed
requirements for each component of a loosely coupled service architecture."" This
relates to the ‘business analysis’ practice. Ref 4.2.2, tab 4.6",Architecture management,"Correct. The ‘architecture management’ practice includes “Designing loosely
coupled service, technical, and information architectures.” Ref 4.2.2, tab 4.6",4.4.a 
"An organization is introducing a service for two business units, which have different requirements for service hours. The result of the different requirements is that the service should be available for 24 hours per day, and will need to be designed with high levels of redundancy. Neither customer sees it as their responsibility to invest in such a solution. 
 
 Which practice ensures that this situation is managed appropriately?",Relationship management,MCQ,Relationship management,"Correct. ""The relationship management practice ensures that conflicting
stakeholder requirements are mediated appropriately."" Ref Relationship
Management Practice Guide 2.1",Service desk,"Incorrect. The ‘service desk’ practice does not have activities relating to disputes
over stakeholder requirements. ""The relationship management practice ensures that
conflicting stakeholder requirements are mediated appropriately."" Ref Relationship
Management Practice Guide 2.1",Architecture management,"Incorrect. The ‘architecture management’ practice does not have activities
relating to disputes over stakeholder requirements. ""The relationship management
practice ensures that conflicting stakeholder requirements are mediated
appropriately."" Ref Relationship Management Practice Guide 2.1",Risk management,"Incorrect. This is not a risk, it is an issue because a decision needs to be made
on who will fund the solution. ""The purpose of the risk management practice is to
ensure that the organization understands and effectively handles risks"". A risk is
defined as ""A possible event that could cause harm or loss, or make it more difficult
to achieve objectives. Can also be defined as uncertainty of outcome"". Ref Risk
Management Practice Guide 2.1, 2.2.1, ITIL 4 Foundation 2.5.3",4.8.a
"An organization wants to increase the percentage of visitors that perform certain actions when visiting its website, such as providing contact information and making purchases. Constant arguments regarding which features to change in support of this objective have led to wasted time and effort. 
 
 Which approach can the organization use to both achieve its objective and reduce the arguments associated with making changes?",Use A/B testing and base decisions on how visitors react to different versions of website features,MCQ,Produce a minimum viable product and base changes on the feedback obtained from customers,"Incorrect. The minimum viable approach is used when “developing products and
services, particularly when the market is volatile and unpredictable”, not as a way to
gain insight regarding the variables that drive desired behaviours. Ref 4.1.2",Calculate the cost of delay associated with each feature change and prioritize accordingly,"Incorrect. Calculating the cost of delay does not provide insight regarding which
variables drive the desired behaviours. Cost of delay “refers to the financial and
non-financial benefits that would be lost if a service activity or task were delayed.”
Ref 4.1.1.1",Use design thinking and make changes that balance the needs and interests of all stakeholders,"Incorrect. Although “Design thinking is particularly useful when addressing…
problems that have… conflicting hypotheses”, balancing the needs and interests of
all stakeholders would not necessarily achieve the objective, which is to drive
certain behaviours. Ref 3.2.1.2",Use A/B testing and base decisions on how visitors react to different versions of website features,"Correct. A/B testing makes it possible to isolate the effect of a new feature and
measure user behaviour to gather solid data. “A/B testing is a time-limited
experiment in which one group of users… is provided with an old version of a
product or service. At the same time, another group of users… is provided with a
new version of the product or service that includes the new feature. Assuming all
other factors influencing both groups are equal, the measurements of the groups
can be compared, thus gathering data for a value-based decision.” Ref 4.1.4",4.1
"A business analyst has recognized that business managers have conflicting hypotheses about their needs for departmental improvement. They also find it difficult to articulate their requirements. 
 
 Which approach is BEST for obtaining requirements?","Develop multiple prototypes of a possible solution, and adopt what works best",MCQ,Conduct an interview based on a carefully prepared script of detailed questions,"Incorrect. According to the Cynefin framework this approach is more suited to a
highly predictable situation (an obvious context). “Obvious – Clear causality, where
predetermined best practice should be applied”. Ref 3.2.3.1","Allocate a week to analyse how the department works, and then make logical conclusions","Incorrect. According to the Cynefin framework this approach is more suited when
there is enough information to be analysed (a complicated context). “Complicated –
Unclear but knowable causality that can be determined by analysis or expertise,
followed by good practice”. Ref 3.2.3.1","Develop multiple prototypes of a possible solution, and adopt what works best","Correct. The conflicting hypotheses of the business managers and their difficulty
in articulating their requirements indicate that this is a complex context. “Complex –
Unclear and unknowable causality requiring safe-to-fail experimentation (emergent
practice)”. Ref 3.2.3.1",Ask the director to enforce what the business analyst considers to be the most plausible solution,"Incorrect. According to the Cynefin framework this approach is more suited to
extremely urgent and important issues (a chaotic context). “Chaotic – A more
extreme form of complexity that demands immediate action to transition the situation
to complex (novel practice)”. Ref 3.2.3.1",3.2.d 
"A team has been established to find ways to release software more frequently and reliably. The team is exploring the relationship between continuous integration/continuous delivery (CI/CD), and the organizationÕs Ôdeployment managementÕ practice. 
 
 In the context of continuous delivery, which would be involved in the Ôdeployment managementÕ practice?",Using version-controlled repositories to deploy new or changed service components,MCQ,Automating the deployment of changes that have passed all tests in the production environment,"Incorrect. This describes continuous deployment. “Changes go through the
pipeline and are automatically put into the production environment, enabling multiple
production deployments per day. Continuous deployment relies on continuous
delivery.” Ref 4.2.5",Using version-controlled repositories to deploy new or changed service components,"Correct. The 'deployment management' practice uses “version-controlled
repositories to deploy new or changed service components or return to a previous
version”. Ref 4.3.4, tab 4.17",Running root-cause analyses and post-mortems following failed deployments,"Incorrect. “Running root-cause analyses and post-mortems” is a responsibility of
the 'problem management' practice. Ref 4.3.6, tab 4.19",Designing and improving the architecture needed to automate deployments,"Incorrect. This is a responsibility of the ‘architecture management’ practice.
“Designing and improving service, technical, and information architecture to
leverage CI/CD capabilities”. Ref 4.2.5, tab 4.10",4.4.f
"An organization wants to introduce chaos engineering. Various experiments will be conducted in the production environment to see how it responds. 
 
 Which is an example of an extra service continuity management measure to support this way of working?",Validating backup network connectivity and testing it for the anticipated workload,MCQ,"Logging information about bandwidth, throughput, response times, and other performance data during the periods of experimentation","Incorrect. This is an example of a ‘capacity and performance management’
activity associated with chaos engineering. ""When running this type of test,
performance information should be captured. As a result, improvements should be
identified that will ensure services are designed for optimum performance,
scalability, and capacity."" Ref 4.3.2, tab 4.15",Investigating the results of the experiments to identify potential vulnerabilities in the production environment,"Incorrect. This is an example of a ‘problem management’ activity associated with
chaos engineering. ""Proactively detecting problems by introducing random failures
and looking for potential flaws in services/components."" Ref 4.3.2, tab 4.15",Validating backup network connectivity and testing it for the anticipated workload,"Correct. ""Designing service continuity measures with sufficient resilience and
redundancy to cope with the unexpected outages caused by chaos engineering
tools"" is a service continuity management activity associated with chaos
engineering. Ref 4.3.2, tab 4.15",Providing a clear set of service models to understand the impact of service outages on business activities,"Incorrect. This is an example of an ‘architecture management’ activity associated
with chaos engineering. ""Considering interactions between services and
components in order to support business and customer demand."" Ref 4.3.2, tab
4.15",4.6.e 
"A service provider has created new services to improve business processes. The services have the right functionality and meet all service levels expected by the customers. The sponsors have complained that the improvement in business process performance is not as much as they expect. 
 
 What action should the service provider take next?",Review the user training,MCQ,Review the warranty of the service,"Incorrect. The scenario already states that services have the right functionality.
""Designing a new or changed product or service should not be done in isolation, but
should consider the impact it will have on all relevant parties, including customers,
users, and suppliers."" Ref Service Design Practice Guide 2.1",Review the utility of the service,"Incorrect. The scenario already states that the services meet all service levels
expected by the customers. ""Designing a new or changed product or service should
not be done in isolation, but should consider the impact it will have on all relevant
parties, including customers, users, and suppliers."" Ref Service Design Practice
Guide 2.1",Review the user training,"Correct. The introduction of new functionality necessitates user training.
""Designing a new or changed product or service should not be done in isolation, but
should consider the impact it will have on all relevant parties, including customers,
users, and suppliers."" Ref Service Design Practice Guide 2.1",Review sponsors' understanding of service levels,"Incorrect. ""Designing a new or changed product or service should not be done in
isolation, but should consider the impact it will have on all relevant parties, including
customers, users, and suppliers."" The documented service levels should be written
in a way that customers understand; training on how to understand the service levels
should not be necessary. Also, understanding the service levels would not alter the
sponsors' perceptions that the business process performance has not improved. Ref
Service Design Practice Guide 2.1",4.8.c 
"A service provider spends a long time carefully planning and designing its new services with its customers and users. There is high customer and user satisfaction with the services when they are introduced. The satisfaction levels dramatically reduce for most services during the first year of live operation. 
 
 Which is the BEST approach to improve this situation?",Introduce a phased approach to the design,MCQ,Introduce a phased approach to the design,"Correct. ""It is important to consider iterative and incremental approaches to
service design, which can ensure that products and services introduced to live
operation can continually adapt in alignment with the evolving needs of the
organization and its customers."" Ref Service Design Practice Guide 2.1",Improve the measurement and metrics of the new services,"Incorrect. It is important to consider ""the necessary measurement and metrics"",
but in this scenario the customer and user satisfaction levels are known, and action
is needed to improve those levels. Ref Service Design Practice Guide 2.1",Increase the length of the initial service design activity,"Incorrect. ""It is important that a holistic, results-driven approach to all aspects of
service design is adopted"", but this solution exacerbates the issue in the scenario by
lengthening the initial service design period and locking down the design details for
long periods. Ref Service Design Practice Guide 2.1",Offer free service upgrades to customers when their satisfaction levels start to dip,"Incorrect. Solutions should address ""the needs of both the organization and
customer in a cost-effective and resilient way"". This approach might increase
customer satisfaction but does not address the unnecessarily lengthy initial design
period, and imposes extra costs on the service provider, which will hinder value
creation for the service provider. Ref Service Design Practice Guide 2.1",4.8.c 
"An organization has introduced continuous integration/continuous delivery (CI/CD) to continuously enhance their software with new and better features and bug fixes. Pressure to quickly release these changes often leaves little time for testing activities. 
 
 Which approach would the Ôservice validation and testing' practice recommend to ensure that adequate testing occurs?",Conduct testing throughout the development lifecycle,MCQ,Conduct testing throughout the development lifecycle,"Correct. The 'service validation and testing' practice recommends that testing is
conducted continuously. “Unit, integration, and regression testing is conducted on
an ongoing basis throughout the development lifecycle.” Ref 4.2.6, tab 4.12",Stop deployments that cause testing failures,"Incorrect. This is a 'deployment management' activity. ""Changes or deployments
that cause the continuous testing to fail trigger the team’s Andon cord. The team
members then swarm to resolve the issue."" This approach will not ensure that
adequate testing occurs. Ref 4.2.6, tab 4.12",Leverage chaos engineering principles to help test service reliability,"Incorrect. Although this is an activity of the 'service validation and testing'
practice, the focus is on chaos engineering, vs. CI/CD. “Chaos engineering testing
principles can help to evaluate service reliability.” Ref 4.3.2, tab 4.15",Automate the installation of software in the testing environment,"Incorrect. This is an activity of the 'deployment management' practice. “The
systematic/automatic installation of specific versions or packages of software to a
predetermined environment (integration, user acceptance testing, production).”
Automation of software deployment in to a test environment may have a minimal
impact on the ability to conduct testing. Ref 4.2.5, tab 4.10",4.4.e
"A financial organization is adopting a DevOps approach to the development and management of digital products. The organization is subject to strict regulation and undergoes external audits every year. 
 
 Which practice would BEST help to support the HVIT objective of assured conformance?",Risk management,MCQ,Risk management,"Correct. “Creating a balanced and practical approach between enterprise risk
management, technical risk management, and new ways of working” is how the ‘risk
management’ practice contributes to the objective of assured conformance. Ref
4.5.1, tab 4.22",Relationship management,"Incorrect. The purpose of the ‘relationship management’ practice is “to establish
and nurture the links between the organization and its stakeholders at strategic and
tactical levels”. It does not play a major role in assuring conformance. Ref
Relationship Management Practice Guide 2.1",Availability management,"Incorrect. “The purpose of the availability management practice is to ensure that
services deliver the agreed levels of availability to meet the needs of the customers
and the users”. It does not play a major role in assuring conformance. Ref
Availability Management Practice Guide 2.1",Infrastructure and platform management,"Incorrect. “The purpose of the infrastructure and platform management practice is
to oversee the infrastructure and platforms used by an organization”. It does not
play a major role in assuring conformance. Ref Infrastructure and Platform
Management Practice Guide 2.1",4.10.b 
"A service provider has been delivering services based on one of their products for five years. The average duration of a contract with a service consumer is two years. 
 
 What is this an example of?",Different perspectives on digital product lifecycle,MCQ,Different perspectives on the service value chain,"Incorrect. ""The ITIL service value chain is useful for describing, at a fairly high
level of abstraction, the types of activities that a service provider executes."" ""
Service consumers and service providers have different perspectives on digital
products. They each have their own product lifecycles, which overlap during the
period of engagement between the consumer and provider. For the service provider,
the lifecycle of a product lasts for as long as there are potential customers for that
product. For the service consumer, the lifecycle continues for as long as the product
is used, and strictly speaking is a product use lifecycle."" Ref 2.6.3, 2.6.2",Different perceptions of a value stream,"Incorrect. Value streams define the actual series of steps a service provider (vs. a
consumer) takes to create and deliver products and services. “HVIT organizations
often are product/service-oriented and have multiple value streams that reflect the
diversity of their products and services. Their operating models therefore comprise
multiple value streams.” ""Service consumer and service provider have different
perspectives on digital products. They each have their own lifecycles, that overlap
during the period of engagement. For the service provider, the lifecycle is as long as
there are potential customers for the product. For the service consumer, the lifecycle
is as long as the product is used – strictly speaking, it is a product use lifecycle."" Ref
2.6.4, 2.6.2",Different perspectives on digital product lifecycle,"Correct. The digital product lifecycle(s) represent the service provider and
consumer perspectives relative to co-creating value. ""Service consumers and
service providers have different perspectives on digital products. They each have
their own product lifecycles, which overlap during the period of engagement
between the consumer and provider. For the service provider, the lifecycle of a
product lasts for as long as there are potential customers for that product. For the
service consumer, the lifecycle continues for as long as the product is used, and
strictly speaking is a product use lifecycle."" Ref 2.6.2",Different views on relationship management,"Incorrect. The ‘relationship management’ practice involves a service provider
establishing and nurturing links with its stakeholders. ""Service consumers and
service providers have different perspectives on digital products. They each have
their own product lifecycles, which overlap during the period of engagement
between the consumer and provider. For the service provider, the lifecycle of a
product lasts for as long as there are potential customers for that product. For the
service consumer, the lifecycle continues for as long as the product is used, and
strictly speaking is a product use lifecycle."" Ref 2.6.2",2.1.d
"An organization has invested heavily in automation so they can significantly increase the speed of the processing and shipment of customer orders. 
 
 What is this an example of?",Digital transformation,MCQ,Continuous delivery,"Incorrect. Continuous delivery relates to how software is released. Continuous
delivery means that “built software can be released to production at any time.” Ref
4.2.5",Digital product,"Incorrect. The automation is not the product itself (it is not directly delivering
value). It is being used to speed up the shipment of products, which may or may not
be digital. “ITIL defines a product as a configuration of an organization’s resources
designed to offer value for a consumer.” “A product is digital when digital technology
plays a significant role in its goods, resources, or associated service interactions.”
Ref 2.6.1",IT transformation,"Incorrect. The use of automation in this case relates to how business services
are handled, vs. IT services. “IT transformation is focused on how IT services and IS
are developed, run, and supported.” Ref 2.4.1",Digital transformation,"Correct. Digital transformation involves the “use of digital technology to enable a
significant improvement in the realization of an organization’s objectives that could
not feasibly have been achieved by non-digital means”. “‘Digital transformation’ is
often used to indicate major investment in digitizing, robotizing, and other forms of
automation that enable organizations to do business significantly differently, or do
significantly different business.” Ref 2.4",1.1.c
Which is the BEST example of the Ôorganizations and peopleÕ dimension in the context of high velocity IT?,Integrating business and IT staff in a single team,MCQ,Automating the flow of data between Dev and Ops,"Incorrect. This relates to the 'information and technology' dimension. ""Freely
flowing information is a characteristic of a high-trust organization. This is consistent
with the generative culture that is often found in High Velocity IT organizations."" Ref
2.6.7",Integrating business and IT staff in a single team,"Correct. ""In high velocity IT environments where IT in an integral part of the
organization’s products and services, it is likely that the IT function will be an integral
part of the lines of business that are responsible for the various products and
services."" Ref 2.6.7",Using shared communication systems to improve collaboration,"Incorrect. This relates to the 'information and technology' dimension. ""Freely
flowing information is a characteristic of a high-trust organization. This is consistent
with the generative culture that is often found in High Velocity IT organizations."" Ref
2.6.7",Understanding how suppliers contribute to a value stream,"Incorrect. This relates to the 'partners and suppliers' dimension and how
suppliers fit within the value stream. ""It is therefore crucial to analyse the
dependencies and take appropriate action"". Ref 2.3.7",2.1.c
"A manager often focuses on avoiding risk, and blames staff when things go wrong. The manager also does not listen to suggestions and allow experimentation. This has resulted in a lack of innovation in the manager's team, and several of the team's senior members have left the organization. 
 
 Which TWO behaviours from safety culture would allow this manager to increase innovation and retain more staff?
 
 1. Focus on inclusion and ignore toxic relationships
 2. Treat failures as improvement opportunities
 3. Encourage continual organizational learning
 4. Encourage collaboration and discourage conflict",2 and 3,MCQ,1 and 2,,2 and 3,"Correct.
(2) Managers need to be realistic about failure and “Acknowledge that failure will
happen and that people are not to blame, but the system”, and “It is therefore crucial
that things like not blaming people and treating failures as improvement
opportunities are more than espoused corporate values.” Ref 3.2.2.2
(3) “In high velocity IT environments, it is crucial that people feel able to share their
opinions and experiment with improvement without the fear of judgement or
embarrassment.” This is necessary in order for continual learning. Ref 3.2.2.2",3 and 4,,1 and 4,"A, C, D. Incorrect.
(1) Stress and burnout can be reduced by ""paying attention to unfair treatment, toxic
relationships, lack of recognition, lack of control, conflicting values, and insufficient
resources."" Ref 3.1.2
(4) There is no indication of conflict within the team. Open and honest
communication – even when it involves conflict – is critical in a safety culture. Stress
and burnout can be reduced by ""paying attention to unfair treatment, toxic
relationships, lack of recognition, lack of control, conflicting values, and insufficient
resources."" Ref 3.1.2",3.2.b 
